Step,batch64,batch16
100,409.2433777,401.5466309
300,425.8748657,397.9864319
500,425.5454309,396.5695044
600,428.2484724,402.825086
725,424.2380907,386.1807719
925,438.4373903,370.6440804
1025,447.6741188,351.3425837
1125,448.3062811,343.2172432
1225,439.4546562,332.5220734
1250,431.3086774,322.2614575
1350,427.1603391,312.181633
1450,418.5285337,307.43042
1550,419.1185057,300.3536621
1650,447.9349291,289.8262891
1750,434.7058595,295.0219077
1850,448.4747767,290.0886749
1975,439.741827,283.1319567
2175,423.433873,280.1015065
2275,436.8983618,278.3896464
2475,428.8449773,276.2506575
2700,414.1781974,272.5519665
2800,404.0848614,271.4503805
2900,396.9509091,268.8304399
3000,396.3086277,267.5127284
3100,393.9981717,260.0562551
3225,369.2799705,257.6519499
3525,364.9249774,255.687014
3625,372.3380593,254.4817767
3750,374.4074408,253.4819149
3850,365.0126897,247.1493656
3950,354.3531938,246.3814858
4050,347.0870899,249.1462409
4150,334.4612918,244.0229925
4250,327.0815029,244.1631175
4375,320.7156845,242.2809243
4475,314.9952466,243.1573017
4775,306.1280637,237.4709219
4875,297.2531529,244.2153972
4975,293.269069,247.2191928
5000,297.1649988,244.4193209
5100,298.723802,241.1935744
5400,301.7506725,239.155418
5500,290.3131692,236.6425503
5600,281.8804243,237.83301
5625,297.4338682,237.6867815
5725,298.3953246,239.518633
5825,287.1598601,240.649434
5925,277.9308269,237.208628
6025,277.9223471,235.5744738
6125,271.6149529,233.8323635
6225,284.8076056,233.7388858
6350,293.2332671,234.992015
6450,292.7717699,235.2059655
6550,291.9310268,238.3370625
6650,287.9393527,236.107858
6850,284.0352529,234.103541
6975,287.5115519,233.9190785
7075,284.7392159,233.8003995
7275,299.1762543,232.7759489
7375,302.0081116,232.515678
7500,303.7151685,232.3186489
7600,304.0690159,232.2329678
7700,308.3020816,233.6643375
7800,298.28522,233.2832675
7900,291.7998435,234.8388973
8000,290.6343755,232.7738004
8125,290.8843925,234.5537632
8225,294.4135443,237.0264517
8325,289.7705571,233.8466893
8425,285.6916105,235.2450242
8625,289.9621019,236.1744312
8850,291.5158729,235.1476108
8950,284.1506835,235.5941354
9050,275.6444055,238.3336274
9150,271.3351411,234.7107954
9350,268.927793,235.6768608
9375,269.5765423,233.7649688
9475,272.1070407,240.0632324
9775,272.3300845,238.1927581
9875,273.7540883,238.6799817
10100,276.7053703,240.075513
10400,276.1863604,237.4780648
10500,269.2748665,236.0350001
10600,273.5330219,232.7922732
10625,274.353096,232.2297353
10725,271.5826111,234.5155723
11025,266.4896515,236.2586004
11125,273.8665808,235.1465867
11225,274.6614287,237.803094
11250,271.5510546,235.9684304
11350,269.3095021,235.6956672
11550,267.3431827,234.964511
11650,264.5380777,233.3736718
11875,270.5416255,234.9545679
12175,278.1462704,231.3029549
12275,274.8932797,233.5022577
12475,275.1453733,233.8805995
12600,274.956002,231.6109127
12700,273.7811529,230.9765048
12800,276.3886491,229.9605007
12900,280.557715,231.8856522
13000,272.2199055,234.4044629
13100,269.5788968,235.2081498
13225,270.3349497,237.8922919
13325,272.1096285,236.4062041
13425,276.2501112,232.3973937
13525,277.3043431,232.5158886
13725,274.1591239,229.8236453
13750,271.9353253,229.2598684
13850,273.5631833,228.790106
14050,270.4125889,229.8304033
14150,265.9874747,229.3428535
14250,264.4887102,231.3891998
14375,267.1000746,228.5118573
14475,266.5352721,234.9872874
14675,262.0596813,233.4860945
14775,259.8279574,233.3496666
14975,256.8776064,232.9985138
15000,268.4424721,232.8127942
15100,275.0046247,229.9353367
15300,269.3404917,230.415466
15400,267.3302181,230.5182401
15625,265.7743185,231.0838853
15725,259.0141692,233.2992616
15825,258.5211498,232.6432728
15925,259.8508554,233.2223209
16125,256.8483418,233.9604037
16225,255.2080466,232.3758059
16350,255.4649419,233.8816414
16550,249.16314,230.5205628
16650,250.8193914,230.6663251
16750,253.9367204,232.8894504
16850,253.1832753,232.501105
16975,250.3750321,229.843038
17075,251.6567151,228.1991679
17375,251.3163175,226.2694296
17700,253.711129,227.7581309
17800,252.1948034,227.5345199
18100,250.7149858,226.4815069
18125,247.8078346,226.7727879
18325,249.2129455,226.4004264
18425,246.1871991,224.3843883
18525,249.4091892,221.9575931
18625,252.2126236,221.6480599
18725,252.0307465,222.5175935
18950,254.4271057,221.7264649
19050,250.6282324,221.992204
19150,247.3538036,222.0540263
19250,251.0833969,223.00071
19475,248.8549164,224.7993229
19575,249.753385,225.8962485
19675,247.5069499,228.3543706
19775,250.6150082,230.8624821
19875,249.8917716,233.4055069
19975,250.7611284,230.5693274
20100,246.9738533,228.2807152
20200,251.9048578,228.2275354
20300,252.4446839,229.1374361
20500,253.9780616,229.2622774
20600,261.1365203,227.9292066
20625,258.9670776,226.523416
20725,260.9141833,226.0616924
20825,258.1615529,226.1601174
20925,252.3944615,224.8464106
21025,254.6724967,226.8524428
21225,250.6635009,225.5955651
21250,246.8044579,226.8891779
21450,243.9641596,227.0603231
21850,243.5405202,230.0268198
21875,239.8512455,228.0712209
22075,239.7531491,228.6901707
22175,241.0361161,227.0976138
22275,239.5611713,227.1192654
22375,242.8060446,225.8640708
22475,241.5315453,226.1643645
22500,245.0549054,228.2289251
22600,241.7581303,227.7912425
22800,240.0434244,225.9582168
23100,239.5672926,224.4132867
23125,235.9983897,225.2198383
23225,242.5458492,225.9011667
23325,239.4115604,225.7966627
23525,239.2841494,226.6669261
23725,240.2224703,233.4633627
23850,238.3235695,235.7376274
24050,238.5167291,232.5605304
24250,238.412953,231.574999
24350,244.7248998,229.2369859
24375,249.3149479,229.8003004
24475,245.5954062,229.6817869
24575,245.3941106,229.9345806
24775,244.9549766,227.9841238
24875,242.818977,228.3470982
25000,235.3986905,228.3826194
25100,238.6818522,229.9575726
25200,241.8159957,230.3465146
25400,240.9963055,227.7846671
25825,239.7256393,225.1119775
26025,244.593103,226.5093421
26125,240.3173322,226.6625793
26250,239.9312247,226.5114538
26350,236.4337859,227.5465624
26450,233.611726,226.5126954
26550,233.5055857,225.0253816
26650,234.6684883,226.8077931
26750,232.2681372,228.2858127
26850,230.7454119,228.8520266
26875,230.5714424,232.6036367
26975,230.8807806,235.2361656
27075,230.7962505,235.7700573
27475,240.8834787,231.5056973
27500,246.5307392,230.7470841
27700,244.7830722,231.4466022
28000,240.7581991,231.4269412
28325,239.2004588,231.9023623
28425,237.8068758,230.4137386
28525,234.3072072,232.2964022
28625,230.5081895,230.4323733
28750,230.1445612,227.5922151
28850,230.7025417,226.6630726
28950,230.0084872,226.5525559
29050,234.7136928,227.2423926
29150,234.8564584,226.0073724
29250,231.818083,225.7496082
29475,229.5251176,229.9398233
29575,226.8653639,230.1987031
29775,235.5011229,230.6527033
29975,235.5228496,231.1199501
30100,234.155206,231.8118079
30300,238.8120066,230.5822771
30500,237.9299458,231.6976363
30600,235.9334037,231.6558446
30625,238.2384801,232.1298088
30725,238.7716099,232.7336871
30825,234.6814328,229.9210226
30925,231.1608231,228.8930772
31025,232.8687678,226.7982722
31125,232.0540444,224.2831002
31225,236.7359418,223.4073853
31350,233.5217307,222.7231495
31550,235.8976702,222.3291665
31650,236.3610714,223.1688142
31850,233.37806,220.924828
31975,239.6037846,220.787012
32075,238.9800675,223.5872726
32175,237.5705103,223.5692993
32275,240.9673885,224.3353131
32375,242.0406405,225.8338327
32475,235.9852346,226.8708504
32500,247.6336344,225.7065619
32600,250.1051802,226.1920775
32700,250.0917187,225.1555144
32800,254.2205917,225.1398168
32900,255.2836145,223.9910954
33100,246.728918,221.3822776
33125,241.212297,222.0941796
33325,246.2942516,224.1425892
33525,243.4684274,224.0431454
33625,244.6502821,224.8164499
33725,244.811226,225.032823
33750,240.1628694,225.1535503
33850,237.3786659,224.3695718
34050,233.6957946,225.6905732
34150,236.4730175,225.8258167
34350,244.8535117,223.7137418
34375,240.7692565,224.3579624
34475,239.6419677,224.3495322
34575,237.6889526,222.9847924
34675,233.3847863,226.1435864
34875,235.0705244,227.9824259
34975,235.5760179,228.237958
35000,231.0311146,229.1405647
35100,228.8753128,226.9214941
35400,233.0105194,228.8899511
35600,235.1784717,229.7646281
35625,231.1309579,227.7946462
35825,230.1774561,229.0267783
35925,241.3997286,231.3084893
36025,237.3747908,229.3851277
36225,238.8251958,229.6421719
36250,237.7838932,229.3787705
36450,233.9732938,227.8388929
36650,231.1537449,230.6654075
37075,230.0314645,228.0254962
37175,234.13852,225.9935842
37475,229.6662329,224.8586125
37500,227.9158904,225.8243198
37600,230.2599737,225.3358352
37700,230.9827958,225.1262182
37800,230.1929536,227.8145763
37900,227.1885364,227.1862649
38100,227.1240012,225.1570258
38225,228.0413487,227.1548748
38425,231.7415995,227.4147812
38625,232.5657344,228.8726727
38850,243.0898678,231.49606
38950,242.4589457,229.1049138
39250,237.8242763,227.0001084
39350,234.3043612,225.6591443
39375,232.1484664,224.0154594
39475,235.2824114,223.3279437
39675,233.0177748,223.9095076
39775,232.6787279,225.4335998
40000,236.7122969,223.5459887
40100,232.9363201,225.0717
40200,233.1422995,225.6165489
40300,230.5062987,225.9558093
40600,230.2277043,224.360674
40625,229.007255,223.669124
40825,224.7854946,228.1188319
40925,226.0486166,228.3133059
41025,223.2628343,227.4309487
41125,223.3151625,226.4451709
41225,225.3292265,227.4033566
41250,225.5582177,226.333046
41350,227.0167005,225.3550232
41450,227.624365,225.0142523
41550,227.9546067,227.4719945
41650,230.3038313,226.1463121
41750,226.8196153,227.5631556
41850,226.4016334,228.0981655
41875,225.7313348,228.3049545
41975,240.2746675,227.0220123
42075,239.274394,226.2189709
42275,237.4853813,226.4522763
42375,235.9016778,228.2363755
42600,233.1630018,227.8176526
42700,241.3959715,227.0806938
43100,242.5962297,224.4780957
43325,241.4159822,224.072482
43425,242.1009071,222.8542472
43625,246.9597296,221.9763665
43725,242.0813335,221.8832752
43850,236.5246523,222.3837167
43950,233.871913,224.6961793
44050,234.3164727,226.1663429
44350,235.0273511,227.9149103
44375,230.7068418,225.7036598
44575,230.4502818,226.2904333
44975,227.9185873,225.3967326
45000,233.7889531,224.0564547
45200,233.9597056,225.3813515
45300,238.8614351,228.6214203
45400,234.2760743,227.8804554
45500,239.8449073,228.5580691
45600,235.7170575,229.4480361
45625,237.3905161,228.3338867
45725,250.2591597,227.6287304
45925,245.170667,226.9923917
46025,243.2172038,225.3849839
46125,238.2129995,228.0119208
46225,236.3166307,226.5332183
46250,241.6213099,229.0029327
46350,247.2170003,229.2628961
46450,242.9971965,225.6542805
46750,252.4771456,224.9417868
46850,248.9043575,224.8257042
46875,250.0359738,226.0385083
47475,243.4886392,225.5581413
47600,249.3399959,225.9022656
47700,251.7912472,227.9272141
47800,244.2716727,226.1791248
47900,240.3638378,225.1697891
48000,237.970065,226.8387548
48100,239.968273,227.9050554
48125,245.2961639,230.794546
48225,238.862459,229.9223495
48325,233.5984237,230.8728924
48425,229.3012487,232.2697311
48525,237.9260636,231.972096
48625,248.5223145,231.6310673
48725,247.8492695,229.4374588
48750,244.2937039,228.8355994
48850,242.7253593,227.6436687
48950,241.261397,226.1372311
49050,236.9884908,227.6506509
49250,234.6404905,228.8324928
49350,230.5725914,226.0826446
49375,231.6247449,223.9115289
49575,227.6660465,224.4865779
49775,226.0406161,224.629988
49975,226.7672341,225.0853381
50000,235.5671504,224.0774684
